*bʰag-	'als Anteil bekommen'	IEW 107
*bʰedʰḫ-	'stechen, graben'	IEW 113-4
*bʰeg-	'brechen (tr.)'	IEW 114-5
*bʰegᵂ-	'davonlaufen, fliehen'	IEW 116
*?bʰeħ-	'wärmen'	IEW 113
*bʰeħdʰ-	'bedrängen'	IEW 114
*bʰeħģʰ-	'ärgerlich werden, in Streit geraten'	IEW 115
*bʰeḫ-	'glänzen, leuchten, scheinen'	IEW 104-5
*bʰeḫ-	'sprechen, sagen'	IEW 105-6
*bʰeḥg-	'braten, rösten'	IEW 113
*bʰeyd-	'spalten'	IEW 116-7
*bʰeydʰ-	'sich anvertrauen, Vertrauen fassen'	IEW 117
*bʰeyH-	'schlagen'	IEW 117-8
*bʰeyḫ-	'in Furcht geraten'	IEW 161-2
*?bʰeld-	'klopfen'	IEW 124
*bʰelģʰ-	'schwellen'	IEW 125-6
*?bʰelH-	'tönen, dröhnen'	IEW 123-4
*?bʰelk-	'stützen'	IEW 122-3
*?bʰen-	'krank werden'	IEW 126
*?bʰend-	'glücklich sein, sich freuen'	IEW 126-7
*bʰendʰ-	'binden'	IEW 127
*bʰenģʰ-	'dicht/fest machen'	IEW 127-8
*bʰer-	'tragen, bringen'	IEW 128-32
*?bʰerdʰ-	'erbeuten, einnehmen'	IEW 138
*bʰerģʰ-	'hoch werden, sich erheben'	IEW 140-1
*?bʰergʰ-	'beachten, bewahren'	IEW 145
*bʰerH-	'mit scharfem Werkzeug bearbeiten'	IEW 133-5
*bʰerḫ-	'sich schnell bewegen'	IEW 132-3
*bʰerw-	'sieden, wallen'	IEW 143-5
*?bʰes-	'(zer)kauen'	IEW 145-6
*?bʰewd-	'schlagen'	IEW 112
*bʰewdʰ-	'wach werden, aufmerksam werden'	IEW 150-2
*bʰewg-	'entfliehen, freikommen'	IEW 152
*bʰewg-	'jmdm. nützen, Nutzen bringen'	IEW 153
*bʰewgʰ-	'sich biegen'	IEW 152-3
*?bʰled-	'sprudeln'	IEW 155
*bʰle(ģ)-	'glänzen'	IEW 124-5
*bʰleħ-	'heulen'	IEW 121-2; 154-5
*?bʰleḫg-	'schlagen'	IEW 154
*bʰleḥ-	'blühen'	IEW 122
*?bʰleyd-	'aufschwellen, überfließen'	IEW 156
*bʰleyģ-	'schlagen'	IEW 160-1
*?bʰleyg-	'glänzen'	IEW 156-7
*?bʰlendʰ-	'trübe werden'	IEW 157-8
*?bʰlewdḫ-	'zerfließen'	IEW 159
*bʰlewH-	'überströmen'	IEW 158-9
*bʰlewH-	'schlagen'	IEW 125
*?bʰlewk-	'blaß werden'	IEW 159
*?bʰredʰ-	'waten'	IEW 164
